Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.84499931,29.88299942,30.29400063,29.57299995,29.22299957,29.47800064,29.1989994,29.28899956,30.21299934,31.75099945,33.21500015,33.88899994,34.16999817,34.36299896,34.5530014,35.98199844,37.36600113,38.15200043,38.66500092,39.21500015,39.74300003,40.28099823,40.80400085,40.93099976,43.1969986,44.02600098,44.18000031,43.4070015,42.43099976,40.24000168,41.49200058
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.19400024,55.04199982,55.49300003,55.93099976,56.50899887,57.02299881,57.6590004,58.90000153,59.99599838,57.94499969,57.95700073,58.02799988,58.08300018,58.18500137,58.24599838,61.34600067,58.83399963,59.89599991,60.32300186,60.26300049,60.20399857,56.01599884,56.99599838,59.40999985,52.53099823,54.64599991,56.74200058,61.2879982,58.30199814,53.5,54.31200027
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.27399826,41.13000107,42.31000137,42.875,43.34199905,41.45600128,41.73799896,41.62200165,42.25400162,43.68899918,44.68899918,46.05699921,45.84999847,47.14699936,47.8219986,48.23400116,48.20399857,48.55099869,48.19300079,47.79600143,46.72000122,47.55699921,47.66199875,47.94300079,47.40299988,45.56000137,45.6590004,46.17100143,46.86800003,41.28300095,43.30699921
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.53099823,44.11800003,43.51800156,43.9679985,48.30199814,50.4129982,51.16999817,51.77700043,53.24599838,55.54100037,56.26499939,55.15999985,55.91199875,57.74200058,57.54100037,56.625,56.74200058,56.64099884,56.51300049,56.30199814,55.10100174,53.58599854,54.93099976,52.79899979,55.38600159,56.55699921,55.22900009,54.43000031,54.76499939,52.18199921,52.75699997
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.10900116,43.99700165,44.93999863,45.81299973,46.68899918,47.58800125,48.50899887,49.37400055,50.20500183,51.06499863,51.91500092,51.90399933,51.91600037,51.94499969,51.94900131,51.90800095,51.96099854,51.99200058,51.99900055,51.95800018,51.95100021,51.92699814,51.91199875,51.8730011,51.4659996,51.11899948,50.69499969,51.61199951,50.65100098,49.86299896,50.13999939
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.46699905,57.36800003,57.30799866,57.23400116,57.15800095,57.5340004,58.00400162,58.54100037,58.93899918,59.12799835,59.40399933,60.25,61.13899994,61.35599899,62.05400085,62.11800003,61.87400055,62.00999832,62.00899887,60.79199982,59.32799911,61.68999863,56.06700134,52.06600189,53.26800156,53.11299896,52.90399933,52.62900162,53,49.42699814,50.3429985
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.57500076,37.69499969,36.83200073,36.00500107,35.86100006,35.65599823,35.91999817,36.09899902,38.13800049,40.07400131,38.23899841,37.68999863,37.04299927,38.57799911,40.18199921,41.82799911,42.78900146,43.73600006,44.57500076,41.29000092,41.76399994,42.25500107,42.83399963,43.26499939,43.6609993,44.29600143,44.75899887,45.25,45.72800064,44.46500015,45.50699997
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.48600006,59.45000076,59.45899963,59.47600174,59.52899933,59.50400162,59.49700165,59.54100037,59.5890007,59.66899872,59.53499985,59.48199844,59.42699814,59.4469986,59.42300034,59.39899826,59.37799835,59.37900162,59.28900146,59.06800079,59.04499817,59.00699997,58.99200058,58.91600037,58.81800079,58.88600159,58.98400116,59.13800049,59.19200134,58.27999878,58.61100006
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.75699997,51.93799973,51.5019989,51.88100052,52.23799896,52.1230011,52.63299942,53.72100067,54.62099838,55.42300034,55.65800095,56.57500076,57.46699905,57.74200058,57.67200089,58.11299896,58.97200012,59.01499939,58.05199814,57.88700104,57.80400085,57.88700104,58.06999969,57.61500168,57.36199951,57.45100021,57.87900162,57.9280014,58.2120018,53.92300034,56.25099945
